group,n,composite_hawk_dove,mandate_weight,inflation_conviction,labor_concern,policy_stance_read
voters,12,2.676,3.069,3.893,0.879,1.712
non_voters,7,2.743,3.388,4.0,1.0,2.5
all,19,2.743,3.073,4.0,0.894,2.0
